,name,brand,chipset,chipset_gen,ram,ram_max,vga,storage_type,storage,os,screen_size,screen_revolution,battery,webcam,weight,price,screen_pixels
20,Laptop Asus VivoBook M1605YA-MB303W (R7 7730U/16GB RAM/512GB SSD/16 WUXGA/Win11/Bạc),Asus,AMD,Ryzen 7,16,32,nvidia,SSD,512,Windows 11,16.0,WUXGA,42,1,1.88 ,15349000,1920x1200
21,Laptop Asus X1504VA-NJ069W (i3 1315U/8GB RAM/512GB SSD/15.6 FHD/Win11/Bạc),Asus,Intel,i3,8,32,nvidia,SSD,512,Windows 11,15.6,FHD,42,1,1.70 ,10499000,1920x1080
22,Laptop Dell Inspiron 3530 (N3530-i3U085W11BLU) (i3 1305U 8GB RAM/512GB SSD/15.6 inch FHD 120Hz/Win11/OfficeHS21/Đen),Dell,Intel,i3,8,32,intel,SSD,512,Windows 11,15.6,FHD,41,1,1.65,12299000,1920x1080
23,Laptop Dell Inspiron 16 5630 (H6KRV) (i5 1340P 16GB RAM/512GB SSD/RTX2050 4G/16.0 inch FHD/Win11/Office HS21/Vỏ nhôm/Bạc),Dell,Intel,i5,16,32,nvidia,SSD,512,Windows 11,16.0,FHD,54,1,1.9,24799000,1920x1200
24,Laptop Dell Inspiron 3530 (N3530-i5U085W11BLU) (i5 1335U 8GB RAM/512GB SSD/15.6 inch FHD 120Hz/Win11/OfficeHS21/Đen),Dell,Intel,i5,8,32,intel,SSD,512,Windows 11,15.6,FHD,41,1,1.65,16299000,1920x1080
25,Laptop Dell Vostro 3420 (71003348) (i5 1235U/8GB RAM/512GB SSD/14.0 inch FHD/Win11/Office HS21/Xám),Dell,Intel,i5,8,16,intel,SSD,512,Windows 11,14.0,FHD,90,1,1.49,14699000,1920x1080
26,Laptop Dell Inspiron 3501 (3692BLK) (i3 1115G4 8GB RAM/256GB SSD/15.6 inch FHD Cảm ứng/Win10/Đen) (NK_Bảo hành tại HACOM),Dell,Intel,i3,8,32,intel,SSD,256,Windows 10,15.6,FHD,42,1,1.91,9999000,1920x1080
27,Laptop Dell Vostro 3520 (F0V0V256) (i5-1235U/8GB RAM/256GB SSD/15.6 inch FHD/Dos/Đen) (NK_Bảo hành tại HACOM) ,Dell,Intel,i5,8,16,intel,SSD,256,Dos,15.6,FHD,41,1,1.66,16299000,1920x1080
28,Laptop MSI Prestige 14Evo (B13M-401VN) (i5 13500H/16GB RAM/512GB SSD/14.0 inch FHD+ /Win11/Bạc/Vỏ nhôm) ,MSI,Intel,i5,16,16,intel,SSD,512,Windows 11,14.0,FHD,72,1,2.4 ,24099000,1920x1200
29,Laptop Acer Aspire 5 A515-58P-56RP (NX.KHJSV.008) (i5 1335U/16GB RAM/512GB SSD/15.6 inch FHD/Win11/Xám) (2023),Acer,Intel,i5,16,16,intel,SSD,512,Windows 11,15.6,FHD,50,1,1.7,15799000,1920x1080
30,Laptop Dell Vostro 15 3530 (V5I5267W1) (i5 1335U 8GB/256GB SSD/15.6FHD 120Hz/Win11/OfficeHS21/Xám) ,Dell,Intel,i5,8,32,intel,SSD,512,Windows 11,15.6,FHD,41,1,1.65,15599000,1920x1080
31,Laptop Asus VivoBook A1505VA-L1201W (i9 13900H/16GB RAM/512GB SSD/15.6 Oled/Win11/Bạc),Asus,Intel,i9,16,16,intel,SSD,512,Windows 11,15.6,FHD,50,1,1.70 ,16299000,1920x1080
32,Laptop Lenovo IdeaPad 3 14AIH8 (83EQ0005VN) (i5 1245H/16GB RAM/512GB SSD/14 FHD/Win11/Xám),Lenovo,Intel,i5,16,16,nvidia,SSD,512,Windows 11,14,FHD,47,1,1.37 ,13799000,1920x1080
33,Laptop Acer Gaming Nitro 5 AN515-57-5669 (NH.QEHSV.001) (i5 11400H/8GBRam/512GB SSD/GTX1650 4G/15.6 inch FHD 144Hz/Win 11/Đen),Acer ,Intel,i5,8,32,nvidia,SSD,512,Windows 11,15.6,FHD,90,1,2.2 ,16299000,1920x1080
34,Laptop Acer Aspire 3 A315-58-529V (NX.ADDSV.00N) (i5 1135G7/RAM 4GB (onboard) + 4GB (rời)/256GB SSD/15.6 inch FHD/Win 11/Bạc),Acer,Intel,i5,4,12,intel,SSD,256,Windows 11,15.6,FHD,7,1,1.7,11799000,1920x1080
35,Laptop Acer Aspire 3 A315-58-529V (NX.ADDSV.00N) (i5 1135G7/2*4GB/256GB SSD/15.6FHD/Win 11/Bạc) (LTAC845),Acer,Intel,i5,4,12,intel,SSD,256,Windows 11,15.6,FHD,7,1,1.7,10799000,1920x1080
36,"Laptop Asus Gaming ROG Strix G614JU-N3777W (i7 13650HX/16GB RAM/512GB SSD/16""WUXGA 165hz/RTX 4050 6GB/Win11/Xám)",Asus,Intel,i7,16,32,nvidia,SSD,512,Windows 11,16,FHD,90,1,2.50 ,37349000,1920x1200
37,Laptop Dell Inspiron 3530 (N3530I716W1) (i7 1355U 16GB RAM/512GB SSD/ MX550 2G/15.6 inch FHD 120Hz/Win11/OfficeHS21/Bạc),Dell,Intel,i7,16,32,nvidia,SSD,512,Windows 11,15.6,FHD,54,1,1.65,22849000,1920x1080
38,Laptop Asus Gaming TUF FX506HF-HN014W (i5 11400H/8GB RAM/512GB SSD/15.6 FHD 144hz/RTX 2050 4GB/Win11/Đen),Asus,Intel,i5,8,32,nvidia,SSD,512,Windows 11,15.6,FHD,48,1,2.4 ,16299000,1920x1080
39,Laptop Predator Helios Neo PHN16-71-74QR (NH.QLVSV.002) (i7-13700HX; 16GB RAM/512GB SSD/RTX4070 8GB/16 inch FHD+ 165Hz/Win11/Đen) ,Acer,Intel,i7,8,32,nvidia,SSD,512,Windows 11,16,FHD,90,1,2.6,16299000,2560x1600
40,Laptop Asus Gaming TUF FX507ZV4-LP042W (i7 12700H/16GB RAM/512GB SSD/15.6 FHD 144hz/RTX4060 8GB/Win11/Xám),Asus,Intel,i7,8,32,nvidia,SSD,512,Windows 11,15.6,FHD,90,1,2.20 ,28649000,1920x1080
