,name,brand,chipset,chipset_gen,ram,ram_max,vga,storage_type,storage,os,screen_size,screen_width,screen_height,screen_revolution,battery,webcam,weight,price,screen_full
17,MSI Modern 15 B7M 238VN (Ryzen 7-7730U | Ram 16GB | 512GB SSD |  AMD Radeon™ Graphics | 15.6inch FHD | Win 11 | Đen),MSI,AMD,Ryzen 7,16.0,24.0,amd,SSD,512,Windows® 11,15.6,1920.0,1080.0,FHD,39.3,1,1.75,16990000.0,1920 x 1080
18,"Laptop Dell Inspiron 7435 2-in-1 (Ryzen 5-7530U, Ram 8GB, SSD 512GB, 14 inch FHD+)",Dell,AMD,Ryzen 5,8.0,12.0,amd,SSD,512,Windows 11,14.0,1920.0,1200.0,FHD,54.0,1,1.58,18990000.0,1920 x 1200
19,"Laptop Dell Inspiron 7435 2-in-1 (Ryzen 7-7730U, Ram 16GB, SSD 1TB, 14 inch FHD+)",Dell,AMD,Ryzen 7,16.0,24.0,amd,SSD,1024,Windows 11,14.0,1920.0,1200.0,FHD,54.0,1,1.58,22990000.0,1920 x 1200
20,Laptop Asus Vivobook 14 OLED M1405YA-KM047W (Ryzen 5-7530U | 8GB | 512GB | AMD Radeon™ Graphics | 14.0inch 2.8K OLED | Win11 | Bạc),Asus,AMD,Ryzen 5,8.0,12.0,amd,SSD,512,Windows 11,14.0,2880.0,1800.0,2.8K,50.0,1,1.6,17990000.0,2880 x 1800
21,MSI Modern 15 B7M 098VN (Ryzen 7-7730U | Ram 8GB | 512GB SSD |  AMD Radeon™ Graphics | 15.6inch FHD | Win 11 | Đen),MSI,AMD,Ryzen 7,8.0,12.0,amd,SSD,512,Windows® 11,15.6,1920.0,1080.0,FHD,39.3,1,1.75,16490000.0,1920 x 1080
22,Laptop Asus Vivobook Go 14 E1404FA-NK177W (Ryzen™ 5-7520U | 16GB | 512GB | AMD Radeon™ Graphics | 14 inch FHD | Win 11 | Bạc),Asus,AMD,Ryzen 5,16.0,24.0,amd,SSD,512,Windows 11,14,1920.0,1080.0,FHD,42.0,1,1.38,14490000.0,1920 x 1080
23,Laptop Lenovo IdeaPad Slim 5 Light 14ABR8 82XS0007VN (Ryzen™ 7-7730U | 8GB | 512GB | AMD Radeon™ Graphics | 14inch FHD | Win 11 | Xám),Lenovo,AMD,Ryzen 7,8.0,12.0,amd,SSD,512,Windows 11,14.0,1920.0,1080.0,FHD,47.0,1,1.17,19990000.0,1920x1080
24,MSI Modern 14 C7M 221VN (AMD Ryzen 7-7730U | 8GB | 512GB | AMD Radeon™ Graphics | 14 inch FHD | Win 11 | Đen),MSI,AMD,Ryzen 7,8.0,12.0,amd,SSD,512,Windows® 11,14.0,1920.0,1080.0,FHD,39.3,1,1.4,14490000.0,1920 x 1080
25,Laptop Asus Vivobook 16 M1605YA-MB303W (Ryzen 7-7730U | 16GB | 512GB | AMD Radeon | 16 inch WUXGA | Win 11 | Bạc),Asus,AMD,Ryzen 7,16.0,24.0,amd,SSD,512,Windows 11,16,1920.0,1200.0,WUXGA,42.0,1,1.88,15990000.0,1920 x 1200
26,"Laptop Dell Inspiron 16 5635 (Ryzen™ 5-7530U, Ram 8GB, 512GB SSD, AMD Radeon Graphics, 16 inch FHD+, Win 11, Bạc)",Dell,AMD,Ryzen 5,8.0,12.0,amd,SSD,512,Windows 11,16.0,1920.0,1200.0,FHD,54.0,1,1.82,17990000.0,1920x1200
