os,ram,vga,battery,weight,price,webcam,chipset,chipset_gen,screen_size,screen_width,screen_height,screen_revolution,storage_type,storage,brand,ram_max
Ubuntu,16,nvidia,83,2.6,72699000,1,Intel,i7,16,1920,1200,FHD,SSD,512,Dell,32
Ubuntu,16,nvidia,83,2.6,72699000,1,Intel,i7,16,1920,1200,FHD,SSD,512,Dell,32
Win,16,nvidia,83,2.6,78999000,1,Intel,i7,16,1920,1200,FHD,SSD,1024,Dell,32
Win,16,nvidia,83,2.6,85999000,1,Intel,i9,16,1920,1200,FHD,SSD,1024,Dell,32
Win,32,nvidia,90,2.6,108990000,1,AMD,Ryzen 9,16,2560,1600,FHD,SSD,1024,Asus,48
Win,16,nvidia,90,2.6,23990000,1,Intel,i5,16,1900,1200,FHD,SSD,512,Acer,24
Win,16,nvidia,90,2.6,35990000,1,Intel,i5,16,2560,1600,FHD,SSD,512,Acer,24
Win,32,nvidia,90,2.6,112490000,1,Intel,i9,16,2560,1600,FHD,SSD,2048,Acer,48
Win,8,nvidia,90,2.6,34290000,1,Intel,i5,16,2560,1600,FHD,SSD,512,Acer,12
Win,8,nvidia,90,2.6,36490000,1,Intel,i7,16,2560,1600,FHD,SSD,512,Acer,12
Win,16,nvidia,90,2.6,37890000,1,Intel,i5,16,2560,1600,FHD,SSD,512,Acer,24
Win,16,nvidia,90,2.6,52990000,1,Intel,i7,16,2560,1600,FHD,SSD,512,Acer,24
Win,16,nvidia,90,2.6,39790000,1,Intel,i7,16,2560,1600,FHD,SSD,512,Acer,24
Win,16,nvidia,90,2.6,37690000,1,Intel,i5,16,2560,1600,FHD,SSD,512,Acer,24
Win,16,nvidia,90,2.6,42990000,1,Intel,i7,16,2560,1600,FHD,SSD,512,Acer,24
Win,8,nvidia,90,2.6,37999000,0,AMD,Ryzen 9,15.6,1920,1080,FHD,SSD,512,Asus,32
Win,8,nvidia,90,2.6,19199000,0,AMD,Ryzen 7,15.6,1920,1080,FHD,SSD,512,Asus,64
Win,8,nvidia,90,2.6,26499000,0,Intel,i7,15.6,1920,1080,FHD,SSD,512,Asus,32
Dos,16,nvidia,90,2.6,49989000,1,Intel,i7,15.6,1920,1080,FHD,SSD,256,HP,32
Dos,8,intel,90,2.6,22999000,1,Intel,i5,14,1920,1200,WUXGA,SSD,256,LG,8
Dos,16,intel,90,2.6,34999000,1,Intel,i5,16,2560,1600,FHD,SSD,512,LG,16
Win,16,nvidia,90,2.6,39699000,1,Intel,i5,16,2560,1600,FHD,SSD,512,Acer,32
Win,16,nvidia,90,2.6,39999000,1,Intel,i5,16,2560,1600,FHD,SSD,512,Acer,32
Win,8,nvidia,90,2.6,34699000,1,Intel,i5,16,2560,1600,FHD,SSD,512,Acer,16
Win,8,nvidia,90,2.6,34999000,0,Intel,i7,15.6,1920,1080,FHD,SSD,512,Asus,32
Win,32,nvidia,90,2.6,52999000,1,Intel,i7,16,2560,1600,FHD,SSD,512,Acer,64
Win,16,nvidia,90,2.6,39999000,1,Intel,i7,16,2560,1600,FHD,SSD,512,Acer,32
Ubuntu,16,nvidia,83,2.67,70990000,1,Intel,i7,16,1920,1200,FHD,SSD,512,Dell,24
Win,32,nvidia,83,2.67,77990000,1,Intel,i7,16,1920,1200,FHD,SSD,1024,Dell,48
Win,32,nvidia,83,2.67,84990000,1,Intel,i9,16,1920,1200,FHD,SSD,1024,Dell,48
Win,16,nvidia,83,2.67,45990000,1,Intel,i7,15.6,1920,1200,FHD,SSD,512,Dell,24
Win,32,nvidia,83,2.67,59990000,1,Intel,i7,15.6,3840,2400,FHD,SSD,512,Dell,48
Win,64,nvidia,83,2.67,81990000,1,Intel,i7,15.6,1920,1200,FHD,SSD,512,Dell,96
Win,32,nvidia,83,2.67,47490000,1,Intel,i7,15.6,1920,1200,FHD,SSD,512,Dell,48
Win,32,nvidia,85,2.67,54990000,1,Intel,i7,15.6,1920,1200,FHD,SSD,512,Dell,48
Win,32,nvidia,90,2.67,118999000,1,AMD,Ryzen 9,16,2560,1600,QHD,SSD,1024,Asus,64
Win,16,nvidia,86,2.69,43990000,1,Intel,i7,15.6,2560,1440,QHD,SSD,1024,Dell,24
Win,32,nvidia,90,2.69,39999000,1,Intel,i7,15.6,2560,1440,QHD,SSD,1024,Dell,64
Win,16,nvidia,90,2.7,37890000,1,AMD,Ryzen 7,16,1920,1200,WUXGA,SSD,512,Acer,24
Win,8,nvidia,90,2.7,28690000,1,AMD,Ryzen 5,16,1920,1200,WUXGA,SSD,512,Acer,12
Win,16,nvidia,90,2.7,38990000,1,AMD,Ryzen 9,16,1920,1200,WUXGA,SSD,512,Acer,24
Win,8,nvidia,90,2.7,33790000,1,AMD,Ryzen 7,16,1920,1200,WUXGA,SSD,512,Acer,12
Win,8,nvidia,90,2.7,28290000,1,AMD,Ryzen 5,16,1920,1200,WUXGA,SSD,512,Acer,12
Win,16,nvidia,90,2.7,19990000,1,AMD,Ryzen 5,16,1920,1200,WUXGA,SSD,512,Acer,24
Win,16,nvidia,90,2.7,24990000,1,AMD,Ryzen 7,16,1920,1200,WUXGA,SSD,512,Acer,24
Win,16,nvidia,90,2.7,21990000,1,AMD,Ryzen 5,16,1920,1200,WUXGA,SSD,512,Acer,24
Win,8,nvidia,90,2.7,22990000,1,Intel,i5,16,1920,1200,WUXGA,SSD,512,Acer,12
Win,16,nvidia,90,2.7,42999000,1,Intel,i7,16,2560,1600,FHD,SSD,512,Acer,32
Win,16,nvidia,99,2.7,45490000,1,Intel,i7,15.6,1920,1080,FHD,SSD,1024,Dell,24
Win,16,nvidia,99,2.7,44990000,1,Intel,i7,17.3,1920,1080,FHD,SSD,1024,Dell,24
Win,16,nvidia,99,2.7,54099000,1,Intel,i7,17.3,1920,1080,FHD,SSD,1024,Gigabyte,32
Win,8,nvidia,56,2.72,20999000,1,AMD,Ryzen 5,15.6,1920,1080,FHD,SSD,512,Dell,32
Win,16,nvidia,90,2.8,34990000,1,Intel,i7,17.3,1920,1080,FHD,SSD,1024,Dell,24
Win,8,nvidia,90,2.8,22890000,1,Intel,i5,17.3,1920,1080,FHD,SSD,512,Acer,12
Win,32,nvidia,90,2.8,59999000,1,Intel,,17.3,2560,1440,QHD,SSD,2048,MSI,64
Win,32,nvidia,90,2.9,42990000,1,AMD,Ryzen 9,15.6,2560,1440,QHD,SSD,1024,Asus,48
Win,64,nvidia,90,2.9,109999000,1,Intel,i7,17.3,2560,1600,QHD,SSD,2048,MSI,64
Win,32,nvidia,87,2.96,118990000,1,Intel,i9,17.3,3840,2160,FHD,SSD,2048,Dell,48
Win,32,nvidia,87,2.96,98990000,1,Intel,i9,17.3,3840,2160,FHD,SSD,1024,Dell,48
Win,16,nvidia,90,3,26990000,1,AMD,Ryzen 7,17.3,1920,1080,FHD,SSD,1024,Acer,24
Win,32,nvidia,90,3,73990000,1,AMD,Ryzen 9,17.3,2560,1440,QHD,SSD,1024,Asus,48
Win,16,nvidia,90,3,29990000,1,AMD,Ryzen 7,17.3,2560,1600,QHD,SSD,1024,Acer,24
Win,8,nvidia,90,3,32690000,1,Intel,i5,17.3,1920,1080,FHD,SSD,512,Acer,12
Win,32,nvidia,90,3,64999000,1,Intel,i9,18,2560,1600,QHD,SSD,1024,Asus,64
Win,32,nvidia,93,3.01,65990000,1,Intel,i7,15.6,1920,1080,FHD,SSD,1024,Dell,48
Win,64,nvidia,93,3.01,124990000,1,Intel,i9,15.6,1920,1080,FHD,SSD,2048,Dell,96
Win,16,nvidia,87,3.02,56990000,1,Intel,i7,17.3,1920,1080,FHD,SSD,512,Dell,24
Win,16,nvidia,87,3.02,58490000,1,Intel,i7,17.3,1920,1080,FHD,SSD,1024,Dell,24
Win,32,nvidia,87,3.02,77990000,1,Intel,i7,17.3,1920,1080,FHD,SSD,1024,Dell,48
Win,64,nvidia,90,3.1,110990000,1,Intel,i9,15.6,1920,1080,QHD,SSD,2048,Asus,96
Win,32,nvidia,90,3.1,114490000,1,Intel,i9,18,2560,1600,FHD,SSD,2048,Acer,48
Win,16,nvidia,90,3.1,69990000,1,Intel,i9,15.6,1920,1080,QHD,SSD,1024,Asus,24
Win,64,nvidia,86,3.25,108990000,1,Intel,i9,16,1920,1200,FHD,SSD,2048,Dell,96
Win,32,nvidia,90,3.3,61990000,1,Intel,i9,15.6,1920,1080,QHD,SSD,1024,Asus,48
Win,16,nvidia,90,3.3,67890000,1,Intel,i9,15.6,1920,1080,QHD,SSD,1024,Asus,24
Win,64,nvidia,90,3.3,135099000,1,Intel,,17.3,3840,2160,FHD,SSD,2048,MSI,128
Win,16,nvidia,97,3.3,59990000,1,AMD,Ryzen 9,17.3,1920,1080,FHD,SSD,1024,Dell,24
Win,8,intel,45,2.1,13499000,1,Intel,i5,15.6,1920,1080,FHD,SSD,512,Lenovo,16
