os,ram,vga,battery,weight,price,webcam,chipset,chipset_gen,screen_size,screen_width,screen_height,screen_revolution,storage_type,storage,brand,ram_max
Win,16,nvidia,86,1.92,50390000,1,Intel,i9,15.6,1920,1200,FHD,SSD,1024,Dell,24
Win,16,intel,86,1.92,34690000,1,Intel,i5,15.6,1920,1200,FHD,SSD,256,Dell,24
Win,16,nvidia,86,1.92,52990000,1,Intel,i9,15.6,3456,2160,3.5K,SSD,1024,Dell,24
Win,16,nvidia,86,1.92,40790000,1,Intel,i7,15.6,1920,1200,FHD,SSD,512,Dell,24
Win,32,nvidia,86,1.92,63890000,1,Intel,i7,17,3840,2400,FHD,SSD,1024,Dell,48
Win,16,nvidia,86,1.92,43990000,1,Intel,i7,15.6,3456,2160,3.5K,SSD,512,Dell,24
Win,16,nvidia,75,1.95,19999000,1,AMD,Ryzen 5,16,2560,1600,2.5K,SSD,512,Lenovo,16
Win,16,nvidia,75,1.95,21999000,1,AMD,Ryzen 7,16,2560,1600,2.5K,SSD,512,Lenovo,16
Win,16,nvidia,75,1.95,24999000,1,AMD,Ryzen 7,16,2560,1600,2.5K,SSD,512,Lenovo,16
Win,16,nvidia,75,1.95,19999000,1,AMD,Ryzen 5,16,2560,1600,2.5K,SSD,512,Lenovo,16
Win,16,nvidia,86,1.96,67999000,1,Intel,i7,15.6,3456,2160,FHD,SSD,512,Dell,32
Win,16,intel,47,1.97,20690000,1,Intel,i5,16,1920,1200,WUXGA,SSD,512,Lenovo,24
No OS,8,intel,47,1.97,19690000,1,Intel,i5,16,1920,1200,WUXGA,SSD,512,Lenovo,12
No OS,16,intel,47,1.97,22990000,1,Intel,i7,16,1920,1200,WUXGA,SSD,512,Lenovo,24
Win,16,intel,47,1.97,27790000,1,Intel,i7,16,1920,1200,WUXGA,SSD,512,Lenovo,24
Win,8,nvidia,55,1.98,20590000,1,Intel,i5,15.6,1920,1080,FHD,SSD,512,MSI,12
Win,8,nvidia,57,1.98,16590000,1,Intel,i5,15.6,1920,1080,FHD,SSD,512,MSI,12
Win,8,nvidia,66,1.98,18290000,1,Intel,i5,15.6,1920,1080,FHD,SSD,512,MSI,12
Win,8,nvidia,55,1.98,22990000,1,Intel,i7,15.6,1920,1080,FHD,SSD,512,MSI,12
Win,8,nvidia,44,1.98,25890000,1,Intel,i7,15.6,1920,1080,FHD,SSD,512,MSI,12
Win,8,nvidia,53.5,1.98,18999000,1,Intel,i7,15.6,1920,1080,FHD,SSD,512,MSI,64
Win,8,nvidia,54,1.99,26490000,1,Intel,i5,15.6,1920,1080,FHD,SSD,512,Dell,12
Win,32,nvidia,99,1.99,77999000,1,Intel,i7,16,3840,2400,FHD,SSD,2048,MSI,64
Win,64,nvidia,76,2,29990000,1,Intel,i7,15.6,1920,1080,FHD,SSD,1024,Asus,96
Win,16,nvidia,76,2,27990000,1,Intel,i7,15.6,1920,1080,FHD,SSD,512,Asus,24
Win,64,nvidia,76,2,30990000,1,Intel,i7,15.6,1920,1080,FHD,SSD,2048,Asus,96
Win,16,nvidia,90,2,39490000,1,Intel,i7,16,1920,1200,FHD,SSD,512,Asus,24
Win,16,nvidia,90,2,35990000,1,Intel,i7,16,1920,1080,FHD,SSD,512,Asus,24
Win,16,nvidia,90,2,39999000,1,Intel,i7,16,1920,1200,FHD,SSD,512,Asus,48
Win,16,nvidia,96,2,19190000,1,Intel,i5,15.6,1920,1080,FHD,SSD,512,Dell,24
Win,8,amd,55,2.01,15990000,1,AMD,Ryzen 5,15.6,1920,1080,FHD,SSD,256,HP,12
Win,16,intel,83,2.02,34990000,1,Intel,i7,16,3072,1920,3K,SSD,512,HP,24
Win,16,amd,71,2.04,21490000,1,AMD,Ryzen 7,16,1920,1200,WUXGA,SSD,1024,Lenovo,24
Win,8,intel,71,2.04,17490000,1,Intel,i5,16,1920,1200,WUXGA,SSD,512,Lenovo,12
Win,16,intel,86,2.05,29990000,1,Intel,i7,16,3072,1920,3K,SSD,512,Dell,24
