,name,brand,chipset,chipset_gen,ram,ram_max,vga,storage_type,storage,os,screen_size,screen_revolution,battery,webcam,weight,price,screen_pixels,screen_width,screen_height
10,Laptop Lenovo Gaming 3 15ACH6 (82K2027QVN) (R5 5500H/8GB RAM/512GB SSD/15.6 FHD 144hz/RTX 2050 4G/Win11/Xám),Lenovo,AMD,Ryzen 5,8,16,nvidia,SSD,512,Windows 11,15.6,FHD,45.0,1,2.25 ,14799000,1920x1080,1920,1080
11,Laptop Asus Gaming TUF FA507NV-LP046W (R7 7735HS/8GB RAM/512GB SSD/15.6 FHD 144Hz/RTX 4060 8GB/Win11/Xám),Asus,AMD,Ryzen 7,8,32,nvidia,SSD,512,Windows 11,15.6,FHD,90.0,0,1.7,26349000,1920x1080,1920,1080
12,Laptop Asus Gaming TUF FA506NC-HN011W (R5 7535HS/8GB RAM/512GB SSD/15.6 FHD 144hz/RTX3050 4GB/Win11/Đen),Asus,AMD,Ryzen 5,8,32,nvidia,SSD,512,Windows 11,15.6,FHD,48.0,1,1.7,18099000,1920x1080,1920,1080
13,Laptop Asus Gaming TUF FA507NU-LP131W (R5 7535HS/16GB RAM/1TB SSD/15.6 FHD 144hz/RTX 4050 6GB/Win11/Xám),Asus,AMD,Ryzen 5,16,32,nvidia,SSD,1024,Windows 11,15.6,FHD,90.0,1,2.20,22799000,1920x1080,1920,1080
14,Laptop Acer Aspire 3 A314-42P-R3B3 (NX.KSFSV.001) ((R7-5700U/16GB RAM/ 512GB SSD/14 inch FHD+/Win11/Bạc) ,Acer,AMD,Ryzen 7,16,16,amd,SSD,512,Windows 11,14,WUXGA,50.0,1,1.4,12649000,1920x1200,1920,1200
15,Laptop MSI Modern 15 (B7M-238VN) (R7 7730U/16GB RAM/512GB SSD/15.6 inch FHD/Win11/Đen),MSI,AMD,Ryzen 7,16,16,amd,SSD,512,Windows 11,15.6,FHD,39.0,1,1.75 ,13949000,1920x1080,1920,1080
16,Laptop Asus VivoBook M1605YA-MB303W (R7 7730U/16GB RAM/512GB SSD/16 WUXGA/Win11/Bạc),Asus,AMD,Ryzen 7,16,16,intel,SSD,512,Windows 11,16.0,WUXGA,42.0,1,1.88 ,15349000,1920x1200,1920,1200
17,Laptop Asus VivoBook TN3402YA-LZ192W (R5 7530U/16GB RAM/512GB SSD/14 Cảm ứng/Win11/Bạc),Asus,AMD,Ryzen 5,8,32,amd,SSD,512,Windows 11,14,WUXGA,50.0,1,1.7,15799000,1920x1200,1920,1200
18,LAPTOP ACER SWIFT 3 SF314-44-R2U3 (NX.K0WSV.001) (R5 5625U/16GB RAM/512GB SSD/14.0 INCH FHD/WIN11/HỒNG/VỎ NHÔM),Acer,AMD,Ryzen 5,16,16,amd,SSD,512,Windows 11,14.0,FHD,50.0,1,1.2,16299000,1920x1080,1920,1080
19,LAPTOP ACER ASPIRE 3 A314-23M-R4TX (NX.KEXSV.001) (R5 7520U/8GB RAM/512GB SSD/14.0 INCH FHD/Win 11/Bạc/Vỏ nhôm),Acer,AMD,Ryzen 5,8,8,amd,SSD,512,Windows 11,14.0,FHD,40.0,1,1.4,12299000,1920x1080,1920,1080
20,Laptop Lenovo IdeaPad Slim 5 Pro 16ARH7 (82SN003HVN) (R5 6600HS/16GB RAM/512GB SSD/16 WQXGA 120Hz/RTX 3050Ti 4GB/Win11/Xám),Lenovo,AMD,Ryzen 5,16,16,nvidia,SSD,512,Windows 11,16,2.5K,75.0,1,1.95 ,19299000,2560x1600,2560,1600
21,Laptop MSI Modern 14 (C7M-083VN) (R5 7530U/8GB RAM/512GB SSD/14.0 inch FHD/Win11/Đen),MSI,AMD,Ryzen 5,8,8,amd,SSD,512,Windows 11,14,FHD,39.0,1,1.4 ,12290000,1920x1080,1920,1080
22,Laptop MSI Modern 15 (B7M-098VN) (R7 7730U/8GB RAM/512GB SSD/15.6 inch FHD/Win11/Đen),MSI,AMD,Ryzen 7,8,8,amd,SSD,512,Windows 11,15.6,FHD,39.0,1,1.7,15340000,1920x1080,1920,1080
23,Laptop MSI Modern 15 (B7M-099VN) (R5 7530U/8GB RAM/512GB SSD/15.6 inch FHD/Win11/Đen),MSI,AMD,Ryzen 5,8,8,amd,SSD,512,Windows 11,15.6,FHD,39.0,1,1.7,13290000,1920x1080,1920,1080
24,Laptop Asus VivoBook M1503QA-L1044W (R7 5800H/8GB RAM/512GB SSD/15.6 FHD Oled/Win11/Bạc),Asus,AMD,Ryzen 7,8,24,amd,SSD,512,Windows 11,15.6,FHD,70.0,1,1.70 ,16349000,1920x1080,1920,1080
25,Laptop HP ProBook 445 G6 6XP98PA (Ryzen 5 2500U/4GB RAM/1TB HDD/Radeon RX Vega/14 inch FHD/DOS),Dell,AMD,Ryzen 5,4,16,intel,SSD,1024,Windows 11,15.6,FHD,45.0,1,1.6,14439000,1920x1080,1920,1080
26,Laptop Lenovo Yoga Slim 7 Carbon 14ACN6 (82L0005BVN) (R7 5800U/16GB RAM/1TB SSD/14 2.8K/MX450 2GB/Win11/Xám),Lenovo,AMD,Ryzen 7,16,16,nvidia,SSD,1024,Windows 11,14,FHD,61.0,1,1.1 ,32349000,2880x1800,2880,1800
27,Laptop Lenovo IdeaPad Slim 5 Pro 14ACN6 (82L700L5VN) (R5 5600U/16GB RAM/512GB SSD/14 2.8K/Win11/Xám),Lenovo,AMD,Ryzen 5,16,16,amd,SSD,512,Windows 11,14,FHD,56.5,1,1.38 ,20299000,2880x1800,2880,1800
28,Laptop Lenovo IdeaPad Slim 5 Pro 14ACN6 (82L700L7VN) (R7 5800U/16GB RAM/512GB SSD/14 2.8K/Win11/Xám),Lenovo,AMD,Ryzen 7,16,16,amd,SSD,512,Windows 11,14,FHD,56.5,1,1.38 ,21349000,2880x1800,2880,1800
29,Laptop Asus VivoBook M3500QC-L1388W (R5 5600H/16GB RAM/512GB SSD/15.6 Oled FHD/RTX3050 4GB/Win11/Bạc),Asus,AMD,Ryzen 5,16,16,nvidia,SSD,512,Windows 11,15.6,FHD,63.0,1,1.60 ,24299000,1920x1080,1920,1080
30,Laptop Asus VivoBook M3500QC-L1327W (R7 5800H/16GB RAM/512GB SSD/15.6 Oled FHD/RTX3050 4GB/Win11/Bạc),Asus,AMD,Ryzen 7,16,16,nvidia,SSD,512,Windows 11,15.6,FHD,63.0,1,1.60 ,25349000,1920x1080,1920,1080
31,Laptop Dell Inspiron 14 7415 (A906BLU) (R5 5500U/8GB/256GB SSD/14 inch FHD Cảm ứng/Win 10/11/Xanh xám) (NK_Bảo hành tại HACOM),Dell ,AMD,Ryzen 5,8,32,amd,SSD,256,Windows 11,14,FHD,45.0,1,1.59 ,16599000,1920x1080,1920,1080
32,Laptop MSI Modern 14 (C7M-220VN) (R5 7530U/8GB RAM/512GB SSD/14.0 inch FHD/Win11/Đen),MSI,AMD,Ryzen 5,8,16,amd,SSD,512,Windows 11,15.6,FHD,39.0,1,1.4 ,10290000,1920x1080,1920,1080
33,Laptop Dell Inspiron 3525 (R7 5700U 16GB RAM/1TB SSD/15.6 inch FHD 120Hz/Win 11/Đen) (NK_Bảo hành tại HACOM),Dell,AMD,Ryzen 7,16,16,amd,SSD,1024,Windows 11,15.6,FHD,41.0,1,1.68,17349000,1920x1080,1920,1080
34,Laptop Acer Swift Go SFG14-41-R5JK (NX.KG3SV.002) (R5-7530U/16GB RAM/1TB SSD/14.0 inch FHD IPS/Win11/Bạc/vỏ nhôm),Acer,AMD,Ryzen 5,16,16,amd,SSD,1024,Windows 11,14.0,FHD,50.0,1,1.2,19299000,1920x1080,1920,1080
35,Laptop Lenovo IdeaPad Slim 5 Light 14ABR8 (82XS0006VN) (R5 7530U/8GB RAM/512GB SSD/14 FHD/Win11/Xám),Lenovo,AMD,Ryzen 5,8,8,nvidia,SSD,512,Windows 11,14,FHD,47.0,1,1.17 ,13299000,1920x1080,1920,1080
